,track_name,track_id,track_popularity,artist_name,artist_id,track_image_link,release_date
100,Too Sad to Dance,3bNNvJA7hsGw0wSpGkfOBm,72,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
101,별별별 (See that?),2Oc0j4x7HkDRVZq8JsgACT,56,NMIXX,28ot3wh4oNmoFOdVajibBl,https://i.scdn.co/image/ab67616d0000b273853ba315cb0ba20b4ae995c6,2024-08-19
102,Loving You,1IvOxLYTstsq5Z6pN3l3zm,48,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,2022-05-02
103,Drama,5XWlyfo0kZ8LF7VSyfS4Ew,79,aespa,6YVMFz59CuY7ngCxTxjpxE,https://i.scdn.co/image/ab67616d0000b273c54e39f2ae0dd10731f93c08,2023-11-10
104,GGUM,1QPV3QoWw3rRKPeYoX8kO8,81,YEONJUN,2Mo2yHjmrDRZW7yRuJwR2w,https://i.scdn.co/image/ab67616d0000b273d176bb158a602ab3c666671b,2024-09-19
105,Trust in me,4zCcKPm03kHARVAiyzlDX8,48,Lim Young Woong,75MOYjGEyyH5U4ZFHOPvxR,https://i.scdn.co/image/ab67616d0000b273e76a3b26a23718f8772bb6fa,2020-04-03
106,3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,77,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,2023-10-02
107,Somebody,5KfJvZ0PZzRdwFRaTUDAA7,72,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,2023-11-03
108,Pineapple Slice,13U2hhhgeN57hffBCuaUcw,70,BAEKHYUN,4ufh0WuMZh6y4Dmdnklvdl,https://i.scdn.co/image/ab67616d0000b2736652c7af6f96d2126e49a9a7,2024-09-06
109,New Woman (feat. ROSALÍA),7ov3TDp5D00Rnu5R1viX4w,89,LISA,5L1lO4eRHmJ7a0Q6csE5cT,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1,2024-08-15
