,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
47,El Botones,RWwgQm90b25lc19MYSBTb25vcmEgU2FudGFuZXJh,39,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
48,Luces de Nueva York - Remasterizado,THVjZXMgZGUgTnVldmEgWW9yayAtIFJlbWFzdGVyaXphZG9fTGEgU29ub3JhIFNhbnRhbmVyYQ==,39,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
49,Opm Medley: When I Met You,T3BtIE1lZGxleTogV2hlbiBJIE1ldCBZb3VfWnNhIFpzYSBQYWRpbGxh7Jm4IDLrqoU=,41,Zsa Zsa Padilla,https://i.scdn.co/image/ab67616d0000b2731d7b563b9f5e0db7e8d43f21,1950-01-01
50,Blue Skies,Qmx1ZSBTa2llc19CZXR0eSBIdXR0b24=,28,Betty Hutton,https://i.scdn.co/image/ab67616d0000b273410be1056698ccd868d06093,1950-01-01
51,Niégalo Todo,TmnDqWdhbG8gVG9kb19BbGNpIEFjb3N0YQ==,37,Alci Acosta,https://i.scdn.co/image/ab67616d0000b273d20cecf495fdec6eee9f1099,1950-01-01
52,"Paris, Paris, Paris",UGFyaXMsIFBhcmlzLCBQYXJpc19Kb3PDqXBoaW5lIEJha2Vy,30,Joséphine Baker,https://i.scdn.co/image/ab67616d0000b273c20a63cb08d8a87791f0b978,1951-05-26
53,Luigi,THVpZ2lfTG91aXMgUHJpbWHsmbggMeuqhQ==,26,Louis Prima,https://i.scdn.co/image/ab67616d0000b273161d8b74c7d26a10ea51fd96,1951-01-01
54,Barquita,QmFycXVpdGFfTGVzIEJheHRlcg==,25,Les Baxter,https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd,1951-01-01
55,Under Paris Skies,VW5kZXIgUGFyaXMgU2tpZXNfVG9ueSBNb3R0b2xhIHkgU3UgT3JxdWVzdGE=,33,Tony Mottola y Su Orquesta,https://i.scdn.co/image/ab67616d0000b2732eb17c967cf3e36676ad988f,1950-05-26
56,Shake Hands with Santa Claus - Mono Recording,U2hha2UgSGFuZHMgd2l0aCBTYW50YSBDbGF1cyAtIE1vbm8gUmVjb3JkaW5nX0xvdWlzIFByaW1h,27,Louis Prima,https://i.scdn.co/image/ab67616d0000b273161d8b74c7d26a10ea51fd96,1951-01-01
57,Woodpecker Song,V29vZHBlY2tlciBTb25nX1RvbnkgTW90dG9sYQ==,34,Tony Mottola,https://i.scdn.co/image/ab67616d0000b27322e04d4d7692cc4d7fdd3ae0,1950-05-26
58,Mambo No. 8,TWFtYm8gTm8uIDhfUMOpcmV6IFByYWRv,35,Pérez Prado,https://i.scdn.co/image/ab67616d0000b2739f58890e82b4032dffe07e4b,1950-11-26
59,Always Late (With Your Kisses),QWx3YXlzIExhdGUgKFdpdGggWW91ciBLaXNzZXMpX0xlZnR5IEZyaXp6ZWxs,26,Lefty Frizzell,https://i.scdn.co/image/ab67616d0000b273b63dc75e1c598cbaebdace2d,1950-01-01
60,Lady Bird,TGFkeSBCaXJkX0ZhdHMgTmF2YXJyb-yZuCAx66qF,25,Fats Navarro,https://i.scdn.co/image/ab67616d0000b273c9c5b186c075ee60acf2b428,1951-01-01
61,All My Love,QWxsIE15IExvdmVfUGF0dGkgUGFnZQ==,28,Patti Page,https://i.scdn.co/image/ab67616d0000b273246e82a5cf5e133ff2376769,1950-09-01
62,Ya No Vuelvas Conmigo,WWEgTm8gVnVlbHZhcyBDb25taWdvX0xhIFNvbm9yYSBTYW50YW5lcmE=,22,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
63,"Any Time, Any Day, Anywhere",QW55IFRpbWUsIEFueSBEYXksIEFueXdoZXJlX0xlZSBXaWxleQ==,28,Lee Wiley,https://i.scdn.co/image/ab67616d0000b273ac074445e025554ced49bb5a,1951-04-21
64,"You, You, You",WW91LCBZb3UsIFlvdV9UaGUgQW1lcyBCcm90aGVycw==,28,The Ames Brothers,https://i.scdn.co/image/ab67616d0000b2736d030545d0bb6497ed3d7f3e,1950-11-26
65,Forever (And Always),Rm9yZXZlciAoQW5kIEFsd2F5cylfTGVmdHkgRnJpenplbGw=,25,Lefty Frizzell,https://i.scdn.co/image/ab67616d0000b273e6bfdf4fdbeb5f7ff5445643,1951-01-01
66,How Long Has This Been Going On?,SG93IExvbmcgSGFzIFRoaXMgQmVlbiBHb2luZyBPbj9fRWxsYSBGaXR6Z2VyYWxk,31,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
67,Fruto Robado,RnJ1dG8gUm9iYWRvX0xhIFNvbm9yYSBTYW50YW5lcmE=,38,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
68,Mambo del Politécnico,TWFtYm8gZGVsIFBvbGl0w6ljbmljb19Qw6lyZXogUHJhZG8=,33,Pérez Prado,https://i.scdn.co/image/ab67616d0000b2739f58890e82b4032dffe07e4b,1950-11-26
69,"Vieni Su (Say You Love Me, Too)",VmllbmkgU3UgKFNheSBZb3UgTG92ZSBNZSwgVG9vKV9EZWFuIE1hcnRpbg==,26,Dean Martin,https://i.scdn.co/image/ab67616d0000b273950cac8aaeeabc0b441c5e91,1950-01-01
70,But Not For Me,QnV0IE5vdCBGb3IgTWVfRWxsYSBGaXR6Z2VyYWxk,32,Ella Fitzgerald,https://i.scdn.co/image/ab67616d0000b273f3207aaf4dc5cad05fd14583,1950-09-11
71,In The Cool Cool Cool Of The Evening,SW4gVGhlIENvb2wgQ29vbCBDb29sIE9mIFRoZSBFdmVuaW5nX0RlYW4gTWFydGlu,28,Dean Martin,https://i.scdn.co/image/ab67616d0000b2731888bb79ceb16b4db9210b8f,1951-01-01
72,September In The Rain,U2VwdGVtYmVyIEluIFRoZSBSYWluX0dlb3JnZSBTaGVhcmluZw==,26,George Shearing,https://i.scdn.co/image/ab67616d0000b273d8b42dbb82ce213f4bff0738,1950-01-01
73,Los Aretes de la Luna,TG9zIEFyZXRlcyBkZSBsYSBMdW5hX0xhIFNvbm9yYSBTYW50YW5lcmE=,38,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
74,The Day Isn't Long Enough,VGhlIERheSBJc24ndCBMb25nIEVub3VnaF9UaGUgRm91ciBGcmVzaG1lbg==,25,The Four Freshmen,https://i.scdn.co/image/ab67616d0000b273e4531fc0aea5c8c1b263ffc1,1950-01-01
75,The Surrey With The Fringe On Top,VGhlIFN1cnJleSBXaXRoIFRoZSBGcmluZ2UgT24gVG9wX0FobWFkIEphbWFs,26,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
76,Enemigos,RW5lbWlnb3NfU29uaWEgTG9wZXo=,39,Sonia Lopez,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,1950-01-01
